Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24595
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72876
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,73366
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11724
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11698
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4266
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4316
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8412
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8601
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2261
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2239
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11284
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11291
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1483
